                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84011,                 2.5094,                 1.1645,                0.00388,                  0.972,                0.37155,                0.24715,                0.74437,                 3.2534,                 1.1573,                0.00026,                0.00026,                0.00026
                      2,                0.83674,                 2.0617,                 1.1731,                0.13224,                  0.604,                0.28394,                0.19826,                0.91493,                 3.2799,                 1.2701,             0.00053465,             0.00053465,             0.00053465
                      3,                0.91427,                  1.793,                 1.2281,                0.44012,                  0.424,                0.27783,                0.15696,                 1.1555,                 3.1442,                 1.7202,             0.00080376,             0.00080376,             0.00080376
                      4,                0.99483,                 1.8338,                 1.2655,                0.28658,                   0.24,                0.17116,                0.08672,                 1.0726,                 3.1799,                 1.5748,              0.0010673,              0.0010673,              0.0010673
                      5,                 1.0045,                 1.6765,                 1.2576,                0.42847,                  0.472,                0.35662,                0.19481,                 1.2232,                 2.9351,                 1.6887,              0.0013254,              0.0013254,              0.0013254
                      6,                 1.0615,                 1.7677,                 1.3103,                  0.435,                  0.324,                0.22914,                0.07417,                 2.2528,                 4.2824,                 5.5341,              0.0015778,              0.0015778,              0.0015778
                      7,                0.99958,                 1.7279,                 1.2927,                0.28403,                  0.284,                0.16834,                0.06517,                 1.9294,                 3.4298,                 2.8445,              0.0018248,              0.0018248,              0.0018248
                      8,                 1.1437,                 1.7483,                  1.335,                0.33923,                  0.428,                0.28295,                0.11837,                 1.8415,                 3.5883,                 2.8288,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1145,                 1.7372,                 1.3869,                0.36875,                  0.392,                0.28323,                0.11245,                 2.3325,                 3.2664,                 3.5695,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.147,                 1.6417,                 1.3529,                0.19935,                  0.304,                0.20741,                0.11656,                 1.3737,                 2.8737,                 1.7585,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1036,                 1.6598,                  1.395,                0.31523,                  0.328,                0.26396,                0.14236,                 1.4011,                 3.0036,                 1.8564,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0882,                 1.5647,                 1.3267,                0.36207,                  0.516,                0.33844,                0.17742,                 1.3101,                 2.9697,                 1.6943,               0.001802,               0.001802,               0.001802
                     13,                 0.9664,                 1.3792,                 1.2536,                0.47539,                0.59445,                0.48267,                0.29246,                 1.2094,                 2.2656,                 1.5607,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0785,                 1.4682,                 1.3577,                0.50572,                  0.572,                0.50426,                0.28776,                 1.3065,                 2.3289,                 1.6565,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0409,                 1.3928,                 1.2832,                0.53166,                  0.656,                0.55058,                0.36188,                  1.023,                 1.8898,                 1.3765,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0034,                 1.4523,                 1.2732,                0.38083,                  0.536,                0.35398,                0.21464,                 1.1856,                 2.1798,                 1.5168,              0.0017228,              0.0017228,              0.0017228
                     17,                0.99796,                 1.3753,                 1.2727,                0.42662,                  0.436,                0.39205,                0.23789,                 1.0662,                 2.6095,                 1.3371,               0.001703,               0.001703,               0.001703
                     18,                  0.875,                 1.3655,                 1.2031,                0.54025,                  0.632,                0.57491,                0.36241,                 1.0677,                 1.6586,                 1.4274,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0105,                 1.3722,                 1.3362,                0.47056,                  0.708,                0.50513,                0.34186,                0.90261,                 1.5305,                 1.2526,              0.0016634,              0.0016634,              0.0016634
                     20,                0.99053,                 1.2941,                 1.2738,                  0.582,                  0.724,                0.64196,                0.44727,                0.91564,                 1.4748,                 1.2947,              0.0016436,              0.0016436,              0.0016436
                     21,                0.99616,                 1.3027,                 1.2751,                0.59727,                   0.62,                0.62669,                0.41662,                 1.0616,                 1.6457,                 1.3984,              0.0016238,              0.0016238,              0.0016238
                     22,                0.93204,                 1.3055,                 1.2493,                0.59148,                   0.64,                0.61856,                0.42421,                0.91268,                 1.4886,                 1.2685,               0.001604,               0.001604,               0.001604
                     23,                0.84865,                 1.1569,                 1.1784,                0.67656,                 0.7112,                 0.7035,                0.50938,                0.84215,                 1.2795,                 1.2016,              0.0015842,              0.0015842,              0.0015842
                     24,                0.98787,                 1.1975,                 1.2291,                0.62327,                  0.724,                0.71417,                0.46967,                 1.0281,                 1.3374,                 1.3916,              0.0015644,              0.0015644,              0.0015644
                     25,                0.92584,                 1.3121,                 1.2396,                0.69316,                0.79518,                0.73075,                0.51749,                0.85303,                 1.2241,                 1.2403,              0.0015446,              0.0015446,              0.0015446
                     26,                0.88228,                 1.1225,                  1.187,                0.70898,                  0.756,                0.77807,                0.54862,                0.88096,                 1.2072,                 1.2611,              0.0015248,              0.0015248,              0.0015248
